科目ナンバリング,科目名,氏名,曜時限
U-LAS04 20019 LJ46,神経心理学II,月浦　崇,月1
U-LAS70 10001 SJ50,ILASセミナー ：神経心理学,月浦　崇,月5
U-LAS04 10005 LJ46,心理学Ｉ,月浦　崇,月2
U-LAS04 10006 LJ46,心理学II,永田　素彦,火2
U-LAS04 20029 LJ45,社会学各論II,朝田　佳尚,火2
U-LAS70 10001 SJ50,ILASセミナー ：社会学II,吉田　純,金5
U-LAS04 20037 SJ45,社会学基礎ゼミナールII,吉田　純,金5
U-LAS04 20028 LJ45,社会学各論Ｉ,岡崎　宏樹,月4
U-LAS04 10010 LJ45,社会学Ｉ,吉田　純,月2
U-LAS04 10010 LJ45,社会学Ｉ,柴田　悠,木3
U-LAS04 10011 LJ45,社会学II,吉田　純,月2
U-LAS04 10011 LJ45,社会学II,吉田　純,月3
U-LAS70 10001 SJ50,ILASセミナー ：社会学Ｉ,柴田　悠,金2
U-LAS04 20036 SJ45,社会学基礎ゼミナールＩ,柴田　悠,金2
U-LAS05 10006 LJ23,自然地理学,大山　修一,金5
U-LAS05 10006 LJ23,自然地理学,松四　雄騎,木3
U-LAS05 10007 LJ23,人文地理学,稲垣　稜,火5
U-LAS05 10007 LJ23,人文地理学,小島　泰雄,月2
U-LAS05 10007 LJ23,人文地理学,山村　亜希,木3
U-LAS05 20010 LJ39,人文地理学各論Ｉ（都市）,稲垣　稜,火4
U-LAS05 20011 LJ39,人文地理学各論II（村落）,小島　泰雄,金2
U-LAS05 20012 LJ39,人文地理学各論III（歴史地理）,米家　泰作,月2
U-LAS05 20013 LJ39,人文地理学各論IV（地域情報）,矢野　桂司,金3
U-LAS05 20014 LJ39,人文地理学各論V（経済地理）,水野　真彦,月2
U-LAS05 10009 LJ23,地域地理学,小島　泰雄,月2
U-LAS05 10009 LJ23,地域地理学,山村　亜希,水5
U-LAS05 10009 LJ23,地域地理学,安藤　哲郎,水1
U-LAS05 20017 LJ23,地域地理学各論Ｉ（日本）,山村　亜希,火3
U-LAS05 20018 LJ23,地域地理学各論II（欧米）,山村　亜希,火3
U-LAS05 20019 LJ23,地域地理学各論III（アジア・アフリカ）,小島　泰雄,金2
U-LAS05 20009 SJ40,社会人類学調査演習,岩谷　彩子,木2
U-LAS70 10001 SJ50,ILASセミナー ：社会人類学調査法,岩谷　彩子,木2
U-LAS05 20003 LJ40,宗教人類学,岩谷　彩子,水2
U-LAS05 10005 LJ40,生態人類学II,風間　計博,火2
U-LAS05 20002 LJ40,文化人類学各論II,風間　計博,火3
U-LAS05 20001 LJ40,文化人類学各論Ｉ,風間　計博,火3
U-LAS05 10001 LJ40,文化人類学Ｉ,岩谷　彩子,木3
U-LAS05 10004 LJ40,生態人類学Ｉ,大山　修一,火2
U-LAS05 10003 LJ40,文化人類学II,岩谷　彩子,木3
U-LAS70 10001 SJ50,ILASセミナー ：文化人類学調査法,風間　計博,水5
U-LAS05 20008 SJ40,文化人類学調査演習,風間　計博,水2
U-LAS05 10010 LJ74,都市空間論,前田　昌弘,火5
U-LAS05 20028 SJ74,都市空間論基礎ゼミナールＩ,中嶋　節子,金2
U-LAS05 10010 LJ74,都市空間論,中嶋　節子,水1
U-LAS05 20029 SJ74,都市空間論基礎ゼミナールII,前田　昌弘,水4
U-LAS06 10007 LJ43,経済学Ｉ,山本　泰三,金5
U-LAS06 10007 LJ43,経済学Ｉ,柴山　桂太,月5
U-LAS06 10008 LJ43,経済学II,山本　泰三,木5
U-LAS06 10008 LJ43,経済学II,柴山　桂太,月5
U-LAS06 20029 LJ43,現代経済社会論Ｉ,黒宮　一太,金2
U-LAS70 10001 SJ50,ILASセミナー ：経済思想,大黒　弘慈,月5
U-LAS01 10011 LJ38,現代文明Ｉ,黒宮　一太,金4
U-LAS01 10011 LJ38,現代文明Ｉ,黒宮　一太,金3
U-LAS01 10012 LJ38,現代文明II,黒宮　一太,金4
U-LAS06 20019 LJ42,公共政策論II,浅野　耕太,金2
U-LAS70 10001 SJ50,ILASセミナー ：社会経済システム論,柴山　桂太,水5
U-LAS06 20033 SJ43,社会・経済システム原論基礎ゼミナール,柴山　桂太,水5
U-LAS06 20031 LJ43,統計リテラシー,芦谷　恒憲,水3
U-LAS06 20030 LJ43,現代経済社会論II,黒宮　一太,金2
U-LAS01 10012 LJ38,現代文明II,黒宮　一太,金3
U-LAS06 20027 LJ43,社会経済システム論Ｉ,柴山　桂太,水3
U-LAS06 20028 LJ43,社会経済システム論II,柴山　桂太,水3
U-LAS06 10007 LJ43,経済学Ｉ,大黒　弘慈,月2
U-LAS06 10007 LJ43,経済学Ｉ,大黒　弘慈,月3
U-LAS06 10008 LJ43,経済学II,大黒　弘慈,月2
U-LAS06 10008 LJ43,経済学II,大黒　弘慈,月3
U-LAS06 20018 LJ42,公共政策論Ｉ,佐野　亘,金3
U-LAS06 20006 LJ41,国際法入門,福島　涼史,火2
U-LAS06 10005 LJ42,政治学Ｉ,佐野　亘,木3
U-LAS06 10005 LJ42,政治学Ｉ,益田　実,金3
